time,left,right,total
1689369538.1,0, 0, 0
1689369538.2,0, 0, 0
1689369538.3,0, 0, 0
1689369538.4,0, 0, 0
1689369538.5,0, 0, 0
1689369538.6,0, 0, 0
1689369538.7,0, 0, 0
1689369538.8,0, 0, 0
1689369538.9,0, 0, 0
1689369539.0,0, 0, 0
1689369539.1,0, 0, 0
1689369539.2,0, 0, 0
1689369539.3,0, 0, 0
1689369539.4,0, 0, 0
1689369539.5,0, 0, 0
1689369539.6,0, 0, 0
1689369539.7,0, 0, 0
1689369539.8,0, 0, 0
1689369539.9,0, 0, 0
1689369540.0,1, 0, 1
1689369540.1,1, 0, 1
1689369540.2,1, 0, 1
1689369540.3,1, 0, 1
1689369540.4,1, 0, 1
1689369540.5,1, 0, 1
1689369540.6,1, 0, 1
1689369540.7,1, 0, 1
1689369540.8,1, 0, 1
1689369540.9,1, 0, 1
1689369541.0,1, 0, 1
1689369541.1,1, 0, 1
1689369541.2,1, 0, 1
1689369541.3,1, 0, 1
1689369541.4,1, 0, 1
1689369541.5,1, 0, 1
1689369541.6,1, 0, 1
1689369541.7,1, 0, 1
1689369541.8,1, 0, 1
1689369541.9,1, 0, 1
1689369542.0,1, 0, 1
1689369542.1,1, 0, 1
1689369542.2,0, 0, 0
1689369542.3,0, 0, 0
1689369542.4,0, 0, 0
1689369542.5,0, 0, 0
1689369542.6,0, 0, 0
1689369542.7,0, 0, 0
1689369542.8,0, 0, 0
1689369542.9,0, 0, 0
1689369543.0,0, 0, 0
1689369543.1,0, 0, 0
1689369543.2,0, 0, 0
1689369543.3,0, 0, 0
1689369543.4,0, 0, 0
1689369543.5,0, 0, 0
1689369543.6,0, 0, 0
1689369543.7,0, 0, 0
1689369543.8,0, 0, 0
1689369543.9,0, 0, 0
1689369544.0,0, 0, 0
1689369544.1,0, 0, 0
1689369544.2,0, 0, 0
1689369544.3,0, 0, 0
1689369544.4,0, 0, 0
1689369544.5,0, 0, 0
1689369544.6,0, 0, 0
1689369544.7,0, 0, 0
1689369544.8,0, 0, 0
1689369544.9,0, 0, 0
1689369545.0,0, 0, 0
1689369545.1,0, 0, 0
1689369545.2,0, 0, 0
1689369545.3,0, 0, 0
1689369545.4,0, 1, 1
1689369545.5,0, 1, 1
1689369545.6,0, 1, 1
1689369545.7,0, 1, 1
1689369545.8,0, 1, 1
1689369545.9,0, 1, 1
1689369546.0,0, 0, 0
1689369546.1,0, 1, 1
1689369546.2,0, 0, 0
1689369546.3,0, 1, 1
1689369546.4,0, 0, 0
1689369546.5,0, 0, 0
1689369546.6,0, 0, 0
1689369546.7,0, 0, 0
1689369546.8,0, 0, 0
1689369546.9,0, 0, 0
1689369547.0,0, 0, 0
1689369547.1,0, 0, 0
1689369547.2,0, 0, 0
1689369547.3,0, 0, 0
1689369547.4,0, 0, 0
1689369547.5,0, 0, 0
1689369547.6,0, 0, 0
1689369547.7,0, 1, 1
1689369547.8,0, 1, 1
1689369547.9,0, 1, 1
1689369548.0,0, 0, 0
1689369548.1,0, 0, 0
1689369548.2,0, 1, 1
1689369548.3,0, 1, 1
1689369548.4,0, 1, 1
1689369548.5,0, 1, 1
1689369548.6,0, 1, 1
1689369548.7,0, 1, 1
